id,text,label,type,source,timestamp
68,"Congratulations, you've won a free trip! Click http://freetrip.com to claim.",1,phishing,real_2020_2024,2023-11-14 03:40:45
69,Don't miss out on this investment opportunity! Secure your future now.,0,email,real,2023-03-07 14:30:45
70,Get a 50% discount on all items. Limited time offer!,1,SMS,real,2024-03-16 04:22:45
71,"Congratulations, you've won a free trip! Click http://freetrip.com to claim.",1,SMS,real,2023-02-19 23:06:45
72,Reminder: Rent payment is due next week.,0,financial,real_2020_2024,2024-03-10 12:13:45
73,Account alert: Unusual activity detected. Review your recent transactions.,1,financial,real,2023-10-01 07:22:45
74,Limited offer: Invest in Bitcoin now to double your earnings.,1,SMS,generated,2024-09-22 08:47:45
75,Important: New login from unfamiliar location. Verify it's you.,1,financial,real_2020_2024,2024-03-10 12:21:45
76,"Meeting at 10 AM tomorrow, please confirm.",0,email,generated,2024-04-12 09:39:45
77,Get a 50% discount on all items. Limited time offer!,1,financial,generated,2023-02-24 08:57:45
78,COVID-19 support available. Sign up for assistance.,0,financial,real,2023-09-05 20:55:45
79,Last chance to save on your next purchase!,0,financial,real,2022-12-01 05:56:45
80,"Congratulations, you've won a free trip! Click http://freetrip.com to claim.",1,SMS,real,2024-06-22 00:32:45
81,Congrats! You’ve won a $500 gift card. Claim at http://bit.ly/claimnow,1,other,real,2024-02-13 09:42:45
82,New survey available! Complete it to earn rewards.,0,other,real_2020_2024,2023-04-24 10:01:45
83,Account alert: Unusual activity detected. Review your recent transactions.,1,financial,real,2024-08-28 11:25:45
84,Click here to update your COVID-19 vaccination status.,1,SMS,real_2020_2024,2023-02-07 02:51:45
85,New survey available! Complete it to earn rewards.,0,SMS,real_2020_2024,2023-08-12 16:02:45
86,Exclusive offer for premium members. Upgrade your plan.,1,phishing,real_2020_2024,2024-01-05 10:31:45
87,Limited stock available! Get your iPhone at a discount.,1,SMS,generated,2024-05-17 00:45:45
88,Urgent! Update your bank information to avoid account suspension.,1,phishing,real_2020_2024,2024-10-24 16:48:45
89,Last chance to save on your next purchase!,0,SMS,real_2020_2024,2024-04-27 16:04:45
90,Account alert: Unusual activity detected. Review your recent transactions.,1,other,real_2020_2024,2022-12-24 21:22:45
91,Get a 50% discount on all items. Limited time offer!,1,financial,real,2023-04-23 10:14:45
92,Last chance to save on your next purchase!,0,phishing,real_2020_2024,2023-01-26 15:25:45
93,Congrats! You’ve won a $500 gift card. Claim at http://bit.ly/claimnow,1,phishing,real_2020_2024,2023-11-04 18:39:45
94,Congrats! You’ve won a $500 gift card. Claim at http://bit.ly/claimnow,1,phishing,generated,2023-04-27 14:00:45
95,Urgent! Update your bank information to avoid account suspension.,1,email,real,2022-11-25 21:13:45
96,Account alert: Unusual activity detected. Review your recent transactions.,1,phishing,real_2020_2024,2023-11-26 20:23:45
97,Limited offer: Invest in Bitcoin now to double your earnings.,1,phishing,real,2024-08-14 15:32:45
98,Your account was accessed from an unknown device. Verify immediately at http://securelink.com,1,email,real_2020_2024,2023-02-20 23:20:45
99,Account alert: Unusual activity detected. Review your recent transactions.,1,other,real_2020_2024,2024-03-02 01:41:45
100,Congrats! You’ve won a $500 gift card. Claim at http://bit.ly/claimnow,1,SMS,generated,2024-01-31 17:19:45
